some_fake_ANY_32;거대한 폭풍이 다가오고 있습니다. 공공 안전 관리들의 지침은 다음과 같습니다: 폭풍이 부는 동안 굴뚝을 청소하지 마십시오. 이 경고를 무시할 경우 사고가 발생할 수 있습니다.
some_fake_ANY_title_34;무역 정상회담
some_fake_ANY_34;현재의 유럽 및 국제 관세와 보호무역주의적 관행들이 다음 주 목요일 $OURCAPITAL$에서 논의될 예정입니다.
some_fake_ANY_title_35;우편 협약
some_fake_ANY_35;오늘 $OURCOUNTRY_ADJ$ 및 외국 각료들이 모여 해외로 발송되는 모든 서신의 우편 요금을 논의합니다.
some_fake_ANY_title_36;근대 석탄 무역
some_fake_ANY_36;서구 세계의 철도 기관차 및 장기적으로 항해용 선박을 위한 석탄 자유 무역이 오늘 지역 상공회의소에서 논의되고 있습니다.
some_fake_ANY_title_37;추기경 서임 가능성 희박
some_fake_ANY_37;바티칸의 교황 측근에서 나온 비공식적 발언은 대주교의 승급 시기가 임박했다는 소문이 시기상조라고 일축했습니다.
some_fake_ANY_title_38;장군의 장례식.
some_fake_ANY_38;지난주 자택에서 사망한 전직 장군이자 은행가의 장례식이 오늘 치러집니다. 이 행사에는 그의 절친한 친구들만이 참석할 예정입니다.
some_fake_ANY_title_39;산 정상에서의 출산
some_fake_ANY_39;산 정상으로 올라가던 중 진통이 온 여성이 두 동행인의 부축을 받아 해발 4000피트 산장에 도착하여 건강한 남자아이를 출산했습니다.
some_fake_ANY_title_40;도덕적 팽창?
some_fake_ANY_40;우리 정부에 예속시킴으로써 이국인들의 자유를 향한 꿈을 짓밟았다고 역사에 기록되도록 내버려둘 수 있습니까? 그들의 동의도 없이 통치할 수 있단 말입니까?
some_fake_ANY_title_41;공갈범 체포.
some_fake_ANY_41;전직 배우이자 육군 탈영병으로 추정되는 인물이 오늘 유명 여배우에게 돈을 요구하며 괴롭힌 혐의로 징역형을 선고받았습니다.
some_fake_ANY_title_42;사악한 치맛자락
some_fake_ANY_42;한 내과의사는 유행이라는 이유로 인도의 먼지들을 집 안으로 끌고 들어와서는 안 된다고 주장하며, 여성들에게 건강상의 이유로 길게 끌리는 치마를 입는 새로운 유행을 포기할 것을 촉구했습니다.
some_fake_ANY_title_43;신앙 치료가 아이를 죽이다
some_fake_ANY_43;이질을 앓던 12세 소녀가 부모가 주치의를 신앙 치료사로 교체한 후 지역 병원에서 사망했습니다.
some_fake_ANY_title_44;폭력배들의 존경을 받다!
some_fake_ANY_44;$ANYPROVINCE$의 한 지역 주민이 동네 선술집에서 소총으로 무장한 여러 명을 쓰러뜨렸다고 전해왔습니다. 그 남성은 습격자들이 무기를 사용함으로써 스스로 불리한 상황을 자초했다고 주장했습니다.
some_fake_ANY_title_45;기사 검토
some_fake_ANY_45;모든 신문 기사는 정확성과 진실성을 확인하기 위해 특별 위원회의 검토를 거쳐야 합니다. 이와 관련 없는 소식: 나무 포장도로에 대해 기사를 썼던 기자가 실종되었습니다.
some_fake_ANY_title_46;법률 논의
some_fake_ANY_46;전국 각지의 변호사들이 오늘 $OURCAPITAL$에 소집되어 민법 및 형법 문제에 있어 국가 사법 제도의 궁극적인 개선안을 논의했습니다.
some_fake_ANY_title_48;$OURCOUNTRY$의 역사
some_fake_ANY_48;$OURCOUNTRY_ADJ$ 문명의 역사에 대한 결정판이 마침내 여러 권의 책으로 완성되었습니다. 저명한 역사학자들은 이 책이 우리의 영웅적인 업적을 충실히 담은 역대 최고의 참고 문헌이라고 극찬했습니다.
some_fake_ANY_title_49;바흐 콘서트
some_fake_ANY_49;모든 음악 애호가들을 위한 향수의 파도. 다음 주 $OURCAPITAL$의 대콘서트홀에서 $OURCOUNTRY_ADJ$ 국립 교향악단이 바흐의 가장 유명한 명곡 모음집을 연주할 예정입니다.
some_fake_ANY_title_50;돌 배달 완료
some_fake_ANY_50;$ANYPROVINCE$ 주민들이 해외에서 온 거대한 대리석 조각들의 운송에 당혹해하고 있습니다. 수도의 메인 광장에 새롭고 웅장한 기념비가 세워질 것이란 소문이 돌고 있습니다.
some_fake_ANY_title_51;기계 장치
some_fake_ANY_51;$OURCAPITAL$ 대학교 공학부를 이끄는 한 수석 과학자에 따르면, 갖가지 형태의 기물들이 점차 일상생활에서 큰 부분을 차지하게 될 것이라 합니다.
some_fake_ANY_title_52;대장장이의 죽음
some_fake_ANY_52;어제 $ANYPROVINCE$에서 편자를 박으려던 대장장이가 말에 채여 사망했습니다.
some_fake_ANY_title_53;일식
some_fake_ANY_53;독자 여러분께 이번 주 금요일에 일식이 일어날 예정임을 정중히 알려 드립니다. 이 일시적인 현상은 공황을 일으키거나 작업을 중단할 만한 이유가 되지 않습니다.
some_fake_ANY_title_54;단안경 판매 정체
some_fake_ANY_54;수십 년간 상승세를 보이던 단안경 판매량이 평행선을 달리고 있는 것으로 보입니다. 주문량은 지난 분기 내내 안정세를 유지했습니다.
some_fake_ANY_title_55;시간 여행
some_fake_ANY_55;싸구려 대중소설의 한 저명한 작가가 인간이 시간을 앞뒤로 오가며 과거나 현재의 다양한 시기에 나타날 수 있다는 아이디어를 제시했습니다.
some_fake_ANY_title_56;문해율
some_fake_ANY_56;새로운 통계에 따르면 문해율이 전 세계적으로 사상 최고치를 기록하고 있습니다. 이전에는 성직자와 귀족층의 전유물이었으나 이제는 평범한 노동자나 여성들 사이에서도 배움의 흔적을 찾아볼 수 있습니다.
some_fake_ANY_title_57;대중 ‘과학’ 강연
some_fake_ANY_57;열성적인 자연 철학자분들께 다음 주 화요일 $OURCAPITAL$ 강당에서 지질학, 즉 암석 형성에 대한 강연이 열린다는 소식을 전해드립니다. 입장료는 1파운드입니다.
some_fake_ANY_title_58;모임 중단
some_fake_ANY_58;어제 남녀평등 운동가들이 정치 클럽에 난입했습니다. 경찰은 이 여성들의 남편들에게 아내를 제대로 통제하지 못한 것에 대해 질책을 가했습니다.
some_fake_ANY_title_59;영국인
some_fake_ANY_59;영국인은 감정을 쉽게 드러내지 않고 강한 페어플레이 정신을 지니고 있으며 자유를 옹호합니다. 그는 창의적이고 우아하며 재치가 있어, 여러 민족들 사이에서도 눈에 띄는 존재감을 발휘합니다.
some_fake_ANY_title_60;인플루엔자 창궐
some_fake_ANY_60;독감이 $OURCOUNTRY$ 전역을 휩쓸고 있습니다. 이미 전국 곳곳에서 수많은 감염 사례가 보고되었습니다. 비전문가들은 유행병이 발생할지 모른다며 우려하지만, 전문가들은 흔한 계절성 유행일 뿐이라며 안심시키고 있습니다.
some_fake_ANY_title_61;매장물 발견
some_fake_ANY_61;이번 주 $ANYPROVINCE$에서 옛 동전 매장물의 흔적이 발견되었습니다. 당국은 폭우가 쏟아진 후 밭을 갈던 한 농부가 발견한 무수히 많은 금화들에 대해 언급했습니다.
some_fake_ANY_title_62;미터법이라는 헛소리
some_fake_ANY_62;한 영국 정치가에 따르면, 미래를 선도할 방식은 야드파운드법뿐입니다. "이 프랑스의 미터법이라는 헛소리는 결코 유행하지 못할 것이다"라고 그는 주장했습니다.
GOODS_PRICE_UP_TITLE_LARGE;가격 상승!
GOODS_PRICE_UP_LARGE;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$의 가격이 꾸준히 올랐습니다. 전 세계의 자본가들과 장인들은 시장의 끝없는 수요에 맞추기 위해 더 많은 $STRING_0_1$ 생산에 다투어 뛰어들고 있습니다.
GOODS_PRICE_UP_TITLE_MEDIUM;가격 상승!
GOODS_PRICE_UP_MEDIUM;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$의 가격이 꾸준히 올랐습니다. 전 세계의 자본가들과 장인들은 시장의 끝없는 수요에 맞추기 위해 더 많은 $STRING_0_1$ 생산에 다투어 뛰어들고 있습니다.
GOODS_PRICE_UP_TITLE_SMALL;가격 상승!
GOODS_PRICE_UP_SMALL;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$ 가격이 꾸준히 상승했습니다!
GOODS_PRICE_DOWN_TITLE_LARGE;가격 폭락!
GOODS_PRICE_DOWN_LARGE;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$ 가격이 돌덩이처럼 곤두박질쳤습니다! 전 세계적으로 $STRING_0_1$ 생산자들은 손실을 만회하기 위해 다른 상품으로 생산을 전환하려 필사적으로 노력하고 있습니다.
GOODS_PRICE_DOWN_TITLE_MEDIUM;가격 폭락!
GOODS_PRICE_DOWN_MEDIUM;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$ 가격이 돌덩이처럼 곤두박질쳤습니다! 전 세계적으로 $STRING_0_1$ 생산자들은 손실을 만회하기 위해 다른 상품으로 생산을 전환하려 필사적으로 노력하고 있습니다
GOODS_PRICE_DOWN_TITLE_SMALL;가격 폭락!
GOODS_PRICE_DOWN_SMALL;지난 $VALUE_INT_0_0$개월 동안 $STRING_0_1$ 가격이 돌덩이처럼 곤두박질쳤습니다!
REVOLUTION_NEWS_TITLE_LARGE;$TAG_0_0_UPPER$의 혁명!
REVOLUTION_NEWS_LARGE;$TAG_0_0$에서 혁명이 일어났습니다! $STRING_0_0$이(가) 정부군을 격파하고 국가를 무너뜨렸습니다. $TAG_0_0$은(는) 이제 $STRING_0_4$의 통제하에 있습니다. 그들은 "우리가 정부를 인수함에 따라, 시민들은 우리의 $STRING_0_3$ 가치를 반영하는 즉각적인 개혁을 기대할 수 있을 것입니다."라고 발표했습니다. 이전 행정부가 맺은 조약 및 보장을 파기하려는 새 집권당의 의도에 대한 질문에 한 정부 관계자는 "우리는 불량 국가가 아니며, 단지 국제적인 파트너들과 좀 더 평등한 관계를 추구할 계획일 뿐입니다."라고 답했습니다.
REVOLUTION_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$의 혁명!
REVOLUTION_NEWS_MEDIUM;$TAG_0_0$에서 혁명이 일어났습니다! $STRING_0_0$이(가) 정부군을 격파하고 국가를 무너뜨렸습니다. $TAG_0_0$은(는) 이제 $STRING_0_4$의 통제하에 있습니다. 그들은 "시민들은 우리의 $STRING_0_3$ 가치를 반영하는 즉각적인 개혁을 기대할 수 있을 것입니다."라고 발표했습니다.
REVOLUTION_NEWS_TITLE_SMALL;혁명!
REVOLUTION_NEWS_SMALL;$TAG_0_0$에서 혁명이 일어났습니다! $STRING_0_0$이(가) 정부군을 격파하고 국가를 무너뜨렸습니다.
INVENTION_NEWS_TITLE_LARGE;발명!
INVENTION_NEWS_LARGE;$TAG_0_0$의 과학자와 기술자들이 $STRING_0_1$을(를) 발명했다고 보고되었습니다.
INVENTION_NEWS_TITLE_MEDIUM;발명!
INVENTION_NEWS_MEDIUM;$TAG_0_0$의 과학자와 기술자들이 $STRING_0_1$을(를) 발명했다고 보고되었습니다.
INVENTION_NEWS_TITLE_SMALL;발명!
INVENTION_NEWS_SMALL;$TAG_0_0$의 과학자와 기술자들이 $STRING_0_1$을(를) 발명했다고 보고되었습니다.
INVENTION_SUFFIX1;진보는 계속해서 나아간다!
INVENTION_SUFFIX2;진정 미래의 빛이로군!
INVENTION_SUFFIX3;이것이 우리 모두를 파멸시킬지도 모른다!
INVENTION_SUFFIX4;여러분, 좋은 소식입니다!
INVENTION_SUFFIX5;이것은 새로운 시대의 서막이다!
INVENTION_SUFFIX6;오늘의 진보는 어제의 계획이었다.
INVENTION_SUFFIX7;좋은 일에 쓰기를 바라자.
INVENTION_SUFFIX8;과학은 결코 잠들지 않는다!
INVENTION_SUFFIX_LONG1;하지만 그 대가는 무엇인가?
INVENTION_SUFFIX_LONG2;다음엔 또 무엇을 생각해낼까?
INVENTION_SUFFIX_LONG3;절대 유행하지 못할 것이다.
INVENTION_SUFFIX_LONG4;그들이 우리에게서 아이디어를 훔친 것이 분명하다.
PARTY_NEWS_TITLE_LARGE;$TAG_0_0_UPPER$의 신생 정당
PARTY_NEWS_LARGE;$TAG_0_0$에 새로운 $STRING_0_2$ 정당인 $STRING_0_0$이(가) 결성되었습니다. 당 관계자는 "현재 신규 당원을 모집하고 모든 현대적 정치 조직에 필요한 지원 체계를 구성하는 중입니다."라고 말했습니다. 다른 조직에서 불만을 품은 활동가들과 환멸을 느낀 당원들을 하나로 모은 이 신생 정당은 전국 대회를 개최하여 대표를 선출하고 강령에 합의할 계획이라고 발표했습니다. 그들은 어떠한 역경에도 불구하고 언젠가 권력을 잡게 될 것이라며 낙관적인 태도를 유지하고 있습니다.
PARTY_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$의 신생 정당
PARTY_NEWS_MEDIUM;$TAG_0_0$에 새로운 $STRING_0_2$ 정당인 $STRING_0_0$이(가) 결성되었습니다. 다른 조직에서 불만을 품은 활동가들과 환멸을 느낀 당원들을 하나로 모은 이 신생 정당은 전국 대회를 개최할 계획이라고 발표했습니다.
PARTY_NEWS_TITLE_SMALL;새로운 정당
PARTY_NEWS_SMALL;$TAG_0_0$에 새로운 $STRING_0_2$ 정당인 $STRING_0_0$이(가) 결성되었습니다. 그들은 어떠한 역경에도 불구하고 언젠가 권력을 잡게 될 것이라며 낙관적인 태도를 유지하고 있습니다.
PROVINCE_NEWS_TITLE_LARGE;$TAG_0_1_UPPER$ 팽창!
PROVINCE_NEWS_LARGE;$STRING_0_0$ 프로빈스가 이제 $TAG_0_1$의 영토가 되었습니다. $TAG_0_1$의 외무장관은 "$STRING_0_0$은(는) $TAG_0_1$의 필수불가결한 영토"이며, "우리의 정당한 손으로 되돌아온 지금 $TAG_0_0$은(는) 이에 대한 어떠한 영유권 주장도 할 수 없다"고 밝혔습니다.
PROVINCE_NEWS_TITLE_MEDIUM;$TAG_0_1_UPPER$ 팽창!
PROVINCE_NEWS_MEDIUM;$STRING_0_0$ 프로빈스가 이제 $TAG_0_1$의 영토가 되었습니다. $TAG_0_1$의 외무장관은 "$STRING_0_0$은(는) $TAG_0_1$의 필수불가결한 영토"라고 밝혔습니다.
PROVINCE_NEWS_TITLE_SMALL;$TAG_0_1$ 팽창!
PROVINCE_NEWS_SMALL;$STRING_0_0$ 프로빈스가 이제 $TAG_0_1$의 영토가 되었습니다. $TAG_0_1$의 외무장관은 최근 인터뷰에서 매우 흡족한 모습을 보였습니다.
RESEARCH_NEWS_TITLE_LARGE;$TAG_0_0_ADJ$ 연구 완료!
RESEARCH_NEWS_LARGE;$TAG_0_0$의 과학자들이 최근 $STRING_0_1$ 연구를 완료했습니다. 이 돌파구는 향후 해당 분야에서 더 많은 발명이 이루어짐에 따라 $TAG_0_0$에 많은 이점을 가져다줄 것이 확실합니다.
RESEARCH_NEWS_TITLE_MEDIUM;$TAG_0_0_ADJ$ 연구 완료!
RESEARCH_NEWS_MEDIUM;$TAG_0_0$의 과학자들이 최근 $STRING_0_1$ 연구를 완료했습니다. 이 돌파구는 향후 해당 분야에서 더 많은 발명이 이루어짐에 따라 $TAG_0_0$에 많은 이점을 가져다줄 것이 확실합니다.
RESEARCH_NEWS_TITLE_SMALL;$TAG_0_0_ADJ$ 연구 완료!
RESEARCH_NEWS_SMALL;$TAG_0_0$의 과학자들이 최근 $STRING_0_1$ 연구를 완료했습니다.
WAR_NEWS_TITLE_LARGE;$TAG_0_0_UPPER$와(과) $TAG_0_1_UPPER$ 간의 전쟁 발발!
WAR_NEWS_LARGE;$DATE_LONG_0$, $TAG_0_0$은(는) 그들과 $TAG_0_1$ 사이에 전쟁 상태가 존재함을 선언했습니다. $TAG_0_0$의 외무장관은 전쟁 선포의 이유를 묻는 질문에 '$STRING_0_1$'의 필요성을 언급했습니다. 그는 "우리는 이전에 부당하게 소유권이 주장되었던 것을 되찾고 이 지역에 평화와 질서를 회복시키려는 것뿐입니다."라고 덧붙였습니다. 이에 대해 $TAG_0_1$의 외무장관은 "이러한 불법적인 침략을 좌시하지 않을 것입니다."라고 대응하며, 국제사회가 침략자를 규탄할 것을 촉구했습니다. 부디 신께서 그들 모두에게 자비를 베푸시기를.
WAR_NEWS_TITLE_MEDIUM;$TAG_0_0_UPPER$, 전쟁에 돌입!
WAR_NEWS_MEDIUM;$DATE_LONG_0$, $TAG_0_0$은(는) $TAG_0_1$와(과)의 전쟁 상태가 존재함을 선언했습니다. 이 선언의 표면적 이유는 '$STRING_0_1$'입니다. $TAG_0_1$의 외무장관은 "이러한 불법적인 침략을 좌시하지 않을 것입니다."라고 논평했습니다.
WAR_NEWS_TITLE_SMALL;$TAG_0_0_$, 전쟁 상태에 돌입!
WAR_NEWS_SMALL;$DATE_LONG_0$, $TAG_0_0$은(는) $TAG_0_1$와(과)의 전쟁 상태가 존재함을 선언했습니다.
KEYNAME;텍스트
