AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$이(가) 우리의 힘을 두려워합니다!
CRISIS_START_DESC_LONG2;수개월간 끊임없이 압박이 커짐에 따라, $STRING_0_0$의 긴장이 바야흐로 국제적인 당면 위기에 처하는 지점까지 다다랐습니다. 열강은 곧 닥쳐올지도 모를 파국을 막기 위해 평화적인 해결책을 찾고 있지만, 자신들의 영향력을 끔찍하게 넓히려는 이들도 역시 도사리고 있습니다. 열강들이 영향력을 얻고자 진흙탕 구르듯 다투면서 맹목적인 외교전이 벌어지고 있습니다. 만약 평화의 해결책을 찾지 못하고, 방관하던 자들이 사리사욕에 눈멀어 양편으로 갈라지게 된다면, $STRING_0_0$의 사건은 곧 참혹한 전면적인 전쟁으로 번질 커다란 불씨를 안고 있습니다.
CRISIS_START_DESC_MEDIUM2;열강이 $STRING_0_0$에서 영향력을 놓고 줄타기와 각축을 벌이고 있으며, 이 지역의 긴장이 급격히 폭발할 듯 고조되었습니다. 더 이상의 확전을 막기 위해 열강에 의해 평화적인 해결책이 요원하게 모색되고 있지만, 결국 분쟁을 피할 수 있을지는 계속 지켜봐야 명확해질 것입니다.
CRISIS_START_DESC_SHORT2;열강이 해당 지역에서 영향력을 얻기 위해 혈안이 되면서 $STRING_0_0$의 긴장이 주요 위기로 발전했습니다. 대전쟁을 막기 위해 발 빠른 외교 활동이 물밑에서 진행 중입니다.
CRISIS_END_TITLE2;긴장 완화
CRISIS_END_DESC_LONG2;최근 주요한 외교적 분쟁 지역 중 한 곳이었던 $STRING_0_0$에서 평화적인 해결책에 도달했다는 소식에 길고 긴 안도의 분위기가 널리 퍼지고 있습니다. <CrisisWinner++++++> 은(는) 열강의 지지를 얻어낸 뒤 그들의 영향력을 키우는 데 멋지게 성공했습니다. 장장 수 주에 걸친 물밑의 외교 공작 끝에 여러 차례의 국제 회의가 성공적으로 지긋지긋한 위기를 종식시켰습니다. 모든 이가 결과에 만족하는 것은 절대 아니며 미래에 언제라도 또 다른 열강이 <CrisisWinner++++++> 에 도전할지는 지켜봐야 하겠지만, 적어도 당분간의 전쟁은 천만다행히 모면되었습니다.
CRISIS_END_DESC_MEDIUM2;$STRING_0_0$의 국제 위기는 열강의 외교 회의를 거치며 아주 평화로운 해결책에 도달했습니다. <CrisisWinner++++++> 은(는) 전쟁에 의존하지 않고도 영리하게 영향력을 확대할 수 있었습니다. 이토록 얄팍한 평화가 과연 언제까지 지속될지는 좀 더 먼 미래를 내다보고 지켜봐야 할 것입니다.
CRISIS_END_DESC_SHORT2;열강의 회담 결과 $STRING_0_0$의 위기가 극적으로 해결되면서 가장 위태로웠던 전쟁의 국면은 일단락 모면되었습니다. <CrisisWinner++++++> 은(는) 성공적으로 자신들의 영향력을 확대했습니다
OTHER_NEW_GP_DESC_LONG2;$TAG_0_1$은(는) 다년간 그 지위가 나날이 상승하여, 이제는 세계의 열강 중 하나로 여겨질 만큼 성장했습니다. 지위에 대한 국제적 용인으로 그 높이를 달리한 $TAG_0_1_ADJ$ 평판은 매우 크게 성장했으며, 이제 우리는 $TAG_0_1$이(가) 그들의 영향력을 뻗으려 할 것이라 짐작해 볼 수 있습니다. 반면 $TAG_0_0$은(는) 최근의 쇠퇴를 끝내 멈추지 못했고, 이제 세계 무대에서 준열강 나부랭이로 널리 간주됩니다. 이러한 지위 상실의 참담함은 그 누구보다도 그들 뼈저리게 느껴질 것이며, 이미 그들의 국제적 영향력은 현저히 쪼그라들었습니다.
OTHER_NEW_GP_DESC_MEDIUM2;$TAG_0_1$은(는) 국제 사회에서 열강 중 한 축으로 널리 인정받고 있습니다. 이는 국가적인 역량의 지속적인 성장이 용인된 것이지만, 모두에게 쌍수 들어 환영받는 일은 결코 아닙니다. $TAG_0_0$은(는) 초라하고 실망스럽게도 이제 한낱 준열강 따위로 간주됩니다.
OTHER_NEW_GP_DESC_SHORT2;상승세를 타고 날아가는 $TAG_0_1$은(는) 지위와 국제적 영향력의 변화에 따라, 국제 사회가 바라보는 관점에서 $TAG_0_0$을(를) 열강의 자리에서 초라하게 밀어냈습니다.
AI_LOVES_US_TITLE4;따뜻한 관계
AI_LOVES_US_DESC4_LONG;우리 특파원은 외무부의 핵심 소식통을 통해 지난 몇 주 동안 $TAG_0_0$의 지도자가 자국의 인민들에게 우리나라와 우리 국민이 거둔 크나큰 성취를 칭송하는 훌륭한 연설을 했다는 사실을 조심스레 전해 들었습니다. 이 연설은 위대한 우리나라에 한 뼘 더 가까이 다가가려는 $TAG_0_0$의 갸륵한 시도로 여겨지며, 우리는 이러한 제안에 대해 $TAG_0_1_ADJ$ 위대한 국민의 전형적인 예의로써 마땅히 응답해 주어야만 합니다. 우리는 이러한 시도를 두루 칭찬하며 다가올 짧지 않은 미래에 두 영광스러운 국가 간의 지속적인 협력 기회로 이어지기를 열렬히 희망하고 있습니다.
AI_LOVES_US_DESC4_MEDIUM;지난주 대사와의 회담이 매우 성공적이었다고 전해진 후, $TAG_0_0_ADJ$ 측 대표가 외무부 계단에서 우리 국가와 정부를 찬양하는 연설을 하여 협력과 동반자 관계를 위한 새로운 대화의 문을 열었습니다.
AI_LOVES_US_DESC4_SHORT;'우리 두 국가 간의 새로운 우정의 시대가 열렸습니다.' 이는 수도에서 열린 회담 직후 모인 기자들에게 $TAG_0_0_ADJ$ 대사가 전한 말이었습니다.
RESEARCH_NEWS_TITLE_LARGE2;$TAG_0_0$에서 획기적인 발견!
RESEARCH_NEWS_LARGE2;$TAG_0_0_ADJ$ 과학자들이 수개월에 걸친 헌신적이고 집중적인 연구 끝에 $STRING_0_1$ 분야에서 새로운 획기적인 발전을 이루었다고 어제 발표했습니다. $TAG_0_0$의 기업가들과 정부는 곧 이 새롭게 습득한 지식을 십분 활용하여 국가 전역에 실용적인 방식으로 적용할 것으로 기대됩니다.
RESEARCH_NEWS_TITLE_MEDIUM2;$TAG_0_0$에서 획기적인 발견!
RESEARCH_NEWS_MEDIUM2;$TAG_0_0_ADJ$ 과학자들이 $STRING_0_1$ 분야에서 획기적인 발전을 발표했습니다. 한 연구원은 이 새로운 지식이 곧 실용적인 방식으로 적용될 것이라고 말했습니다.
RESEARCH_NEWS_TITLE_SMALL2;$TAG_0_0$에서 획기적인 발견!
RESEARCH_NEWS_SMALL2;$TAG_0_0_ADJ$ 과학자들이 최근 $STRING_0_1$ 분야에서 획기적인 발전을 발표했습니다.
INVENTION_NEWS_TITLE_LARGE2;새로운 특허!
INVENTION_NEWS_LARGE2;과학 보고서: $TAG_0_0$의 연구원들이 $STRING_0_1$ 분야에서의 개선 및 혁신에 대한 특허를 등록했습니다. 이러한 발전의 세부 사항은 현재 철저히 비밀에 부쳐져 있으나, 점진적으로 다른 국가로 퍼져나가 결국 세계 과학 발전에 기여할 것으로 예상됩니다.
INVENTION_NEWS_TITLE_MEDIUM2;새로운 특허!
INVENTION_NEWS_MEDIUM2;$STRING_0_1$ 분야에서의 개선 및 혁신이 $TAG_0_0$ 국립 특허청에 등록되었습니다.
INVENTION_NEWS_TITLE_SMALL2;새로운 특허!
INVENTION_NEWS_SMALL2;$STRING_0_1$ 분야에서의 새로운 개선 및 혁신이 $TAG_0_0$에 특허로 등록되었습니다.
EDITORIAL_ABSMON;사설: 반정통주의자들을 혐오하는 것이 옳고 정당한 이유 - 신의 섭리가 이를 요구하고 있다! 이 아무짝에도 쓸모없는 자들은 천한 농사꾼들이 스스로를 다스리게 하려 들기 때문이다! (10페이지 참조)
EDITORIAL_PRUCON;사설: 각양각색의 개혁주의자들을 혐오하는 것이 당연한 이유 - 자연의 섭리가 이를 요구하고 있다! 이 자유주의 투기꾼들과 세계주의자들은 우리 국가를 사창가처럼 운영하려 들기 때문이다! (10페이지 참조)
EDITORIAL_CONMON;사설: 공화주의자들을 혐오하는 것이 정당한 이유 - 안정이 이를 요구하고 있다! 우리를 향해 인자한 미소를 지어줄 장식적인 군주조차 없다면, 음모와 단두대가 우리 모두를 파멸시키고 말 것이기 때문이다! (10페이지 참조)
EDITORIAL_DEMOCRACY;사설: 각종 혁명가들을 혐오하는 것이 당연한 이유 - 왜냐하면 그들은 매수할 수 없기 때문이다! 그토록 편협하고 융통성 없는 교조주의에 맹목적인 자들은 법의 지배를 존중하지 않기 때문이다! (10페이지 참조)
EDITORIAL_PRESDICT;사설: 불순분자들을 혐오하는 것이 당연한 이유 - 대통령께서 이를 요구하고 있다! 불과 어제도 이 범죄자들이 수도에 있는 각하의 대리석 동상을 끔찍하게 훼손했기 때문이다! (10페이지 참조)
EDITORIAL_BOURDICT;사설: 빈민들을 혐오하는 것이 당연한 이유 - 독자 여러분의 합리적인 이기심이 이를 요구하고 있다! 이 기생충 같은 시궁창 인생들은 스스로 가난해지기를 택했기 때문이다. 그들을 어설프게 동정했다간 큰코다칠 것이다. (10페이지 참조)
EDITORIAL_PROLDICT;사설: 기생충들을 혐오하는 것이 당연한 이유 - 당이 이를 요구하고 있다! 심지어 가장 천한 마을 제빵사조차도 인민을 수탈하는 착취자이기 때문이다. 부자들을 뿌리 뽑아야만 우리 모두가 진정한 해방을 맞이할 것이다! (10페이지 참조)
EDITORIAL_FASCDICT;사설: 기생충들을 혐오하는 것이 당연한 이유 - 당이 이를 요구하고 있다! 심지어 가장 천한 마을 제빵사조차도 인민을 수탈하는 착취자이기 때문이다. 부자들을 뿌리 뽑아야만 우리 모두가 진정한 해방을 맞이할 것이다! (10페이지 참조)
FAKE_UNKNOWN;전도유망한 신예 작가 엘리스 벨이 요크셔의 황야를 무대로 사랑 문제를 탐구한 매혹적인 소설 '폭풍의 언덕'을 집필했습니다. 우리는 이 젊은이가 앞으로 보여줄 활약에 큰 기대를 걸고 있습니다.
FAKE_UNKNOWN;문학계의 스캔들! '폭풍의 언덕'의 작가 엘리스 벨이 사실은 에밀리 브론테라는 이름의 여성인 것으로 밝혀졌습니다! 런던의 여인들이 히스클리프를 동경하며 한숨짓는 가운데, 이 소설의 인기는 누그러질 기미가 보이지 않고 있습니다.
FAKE_UNKNOWN;'천일야화'와 '카마수트라'의 번역가 리처드 프랜시스 버턴이 메카의 하즈 순례에 잠입했습니다. 그의 독점 여행기는 10페이지에서 확인하실 수 있습니다.
FAKE_UNKNOWN;여배우 버지니아 랩이 뉴욕에 있는 패티 아버클의 호텔 스위트룸에서 숨진 채 발견되었습니다. 할리우드의 난봉꾼들과 그들의 퇴폐적인 영화가 우리 국가의 도덕적 가치를 망치기 전에 이들을 통제해야 할 때입니다.
FAKE_UNKNOWN;조지 거슈윈의 신작 랩소디 인 블루가 클래식과 재즈 스타일을 융합하여, 우리 현대에 걸맞은 낡음과 새로움의 조화를 세련되면서도 경쾌한 방식으로 만들어냈습니다.
FAKE_UNKNOWN;F. 스콧과 젤다 피츠제럴드가 파리에 있는 미국인 국외 거주자 커뮤니티에서 더 밝은 미래를 찾기 위해 뉴욕을 떠났습니다. 아무래도 가장 재능 있는 미국인들은 결국 모두 파리로 향하는 모양입니다.
FAKE_UNKNOWN;볼스테드법에 따른 금주의 또 다른 의도치 않은 부작용으로, 미국인들이 밀주를 어떻게든 맛있게 마셔보기 위해 새롭고 다양한 칵테일을 개척하고 있습니다.
FAKE_Cthulhu;판글루이 므글나파 크툴루 르뤼에 가나글 파탄
some_fake_1836_title_12;벚꽃
some_fake_1836_12;일본 정부가 새로운 국가 색상을 벚꽃색으로 지정하기로 결정했습니다. 벚꽃이 이 놀라운 나라의 국민성을 가장 잘 나타낸다는 이유에서입니다. 이를 '분홍색'이라고 부르는 것은 불법으로 규정되었습니다.
some_fake_1836_title_13;좋은 강
some_fake_1836_13;전문적인 미국 지도 제작자 팀이 이제껏 가장 정확하게 그려진 '좋은' 오하이오 강 지도를 완성했으며, 이는 향후 지역 및 국제 지도에 포함될 예정입니다. 다른 강들의 지도도 뒤따를 것입니다.
some_fake_1836_title_14;얀마옌
some_fake_1836_14;설명하기 어려울 정도로 많은 이주민들이 최근 북극해의 척박한 얀마옌 섬으로 이주했다는 소식입니다. 초기 이주민 중 한 명은 '우리는 그 모든 소음에 지쳤습니다'라고 밝혔습니다.
some_fake_1880_title_8;정신이상자법
some_fake_1880_8;최근의 법안에 따르면, 선박의 소유주들은 자국의 항구에 정신이상자, 백치 또는 죄수로 판단되는 사람을 내리게 할 경우 벌금을 내야 합니다.
some_fake_1890_title_8;행운의 55
some_fake_1890_8;54명의 주 복권 당첨자들이 역대 최고액의 상금을 나눠 가지게 되었습니다. 불운한 55번째 당첨자는 "내 복권을 찾을 수가 없어!"라며 한탄했습니다.
some_fake_1910_title_11;드레드노트 사기극
some_fake_1910_11;터번을 두르고 얼굴을 검게 칠하여 아비시니아 왕자 일행으로 위장한 젊은 귀족 무리가 영국 왕립 해군 기함에 속임수를 써 진입한 뒤 함선 내부를 사적으로 견학했습니다.
some_fake_1910_title_12;라디오가 문화를 파괴한다?
some_fake_1910_12;최근 라디오가 등장하면서 이것이 사회와 사회화를 파괴할 것이라는 우려를 낳고 있습니다. 지지자들은 깊이 생각할 거리를 던져주는 지적인 방송만이 고려될 것이라고 말합니다.
some_fake_1910_title_13;채찍의 반란
some_fake_1910_13;브라질 해군의 흑인 수병들이 백인 장교들에 맞서 반란을 일으켰습니다. 이들은 하급자에 대한 인종 차별과 물리적 폭력을 폐지하지 않으면 리우데자네이루에 포격을 가하겠다고 위협하고 있습니다.
some_fake_1920_title_13;남성 복장 개혁당
some_fake_1920_13;남자들이 더 아름답고 위생적으로 옷을 입도록 촉구하는 새로운 운동이 일어났습니다. '대부분의 회원은 반바지를, 소수는 킬트를 원하고, 바지는 거의 모두가 혐오합니다.' 남성 복장 개혁당(MDRP)은 모자 착용에도 반대하고 있습니다.
dino_fake_1830_title_1;조류 발자국학
dino_fake_1830_1;히치콕 교수가 매사추세츠주 커네티컷 강 근처에서 발견된 새의 발자국 화석에 대해 보고했습니다. 발자국 중 일부는 엄청나게 거대한 종의 새가 남긴 것임을 시사합니다...
dino_fake_1830_title_2;플라테오사우루스
dino_fake_1830_2;화석의 최초 발견자인 엥겔하르트 박사의 뜻을 기려 폰 마이어 박사가 이 새로운 거대 파충류를 플라테오사우루스 엥겔하르티로 명명했습니다. 이 동물은 이구아노돈 및 메갈로사우루스와 관련이 있는 것으로 보입니다.
dino_fake_1830_title_3;테코돈토사우루스
dino_fake_1830_3;이 특이한 파충류는 현대 파충류처럼 이빨이 턱에 유합된 것이 아니라 이빨이 이틀에 박혀 있다고 이 도마뱀을 묘사한 라일리 박사와 스터치베리 박사가 밝혔습니다.
dino_fake_1830_title_4;포이킬로플레우론
dino_fake_1830_4;외드데롱샹 박사가 척추, 갈비뼈, 사지 뼈로 알려진 새로운 파충류에 대해 보고했습니다. 그는 이 동물이 메갈로사우루스와 연관이 있다고 생각합니다.
dino_fake_1840_title_1;공룡(Dinosauria)
dino_fake_1840_1;다이노소리아(공룡)는 오언 교수가 메갈로사우루스, 힐라에오사우루스, 이구아노돈을 포함하는 파충류 계통을 지칭하기 위해 제안한 이름입니다. 이 다이노소리아는 커다란 크기로 유명합니다.
dino_fake_1840_title_2;케티오사우루스
dino_fake_1840_2;거대한 화석 해양 파충류가 새롭게 발견되었습니다. 오언 교수는 이 화석에 "고래 도마뱀"이라는 뜻의 케티오사우루스라는 이름을 붙였습니다.
dino_fake_1840_title_3;카르디오돈
dino_fake_1840_3;영국 월트셔에서 하트 모양의 이빨 하나가 발견되었습니다. 오언 교수는 이를 분석한 후 카르디오돈이라는 이름을 부여하기로 결정했습니다.
dino_fake_1840_title_4;레그노사우루스
dino_fake_1840_4;이구아노돈의 턱뼈 일부가 발견된 후, 맨텔 박사는 이전에 이 동물의 턱뼈로 간주했던 부분에 오류가 있었음을 인정하고 이제 이를 별도의 종으로 명명했습니다.
dino_fake_1840_title_5;공룡류?
dino_fake_1840_5;생물학자 리처드 오언이 화석이 남아프리카와 뉴질랜드에서 발견된 멸종된 거대 파충류의 실물 크기 콘크리트 조각상을 세계 최초로 제작했습니다. 그는 이들을 '공룡(dinosauria)'이라 칭했습니다.
dino_fake_1850_title_1;아메리카의 공룡
dino_fake_1850_1;라이디 박사가 아메리카에서 트라코돈과 데이노돈이라 명명된 두 종의 새로운 공룡을 발견하여 학계에 보고했습니다. 이 밖에도 팔라에오스킨쿠스와 트로오돈이라는 미확인 도마뱀류도 발견되었습니다.
dino_fake_1850_title_2;하드로사우루스
dino_fake_1850_2;이 새로운 공룡은 이구아노돈과 친척간인 것으로 보입니다. 라이디 박사는 이 동물이 직립 이족 보행 자세로 몸을 지탱했을 것이라고 추정하고 있습니다.
dino_fake_1860_title_1;콤프소그나투스
dino_fake_1860_1;파충류의 새로운 종이 발견되어 콤프소그나투스라는 이름이 붙었습니다. 바그너 박사는 이 도마뱀이 어느 정도 새를 연상시키긴 하나, 그 연관성이 정당화될 수는 없다고 말합니다.
dino_fake_1860_title_2;시조새
dino_fake_1860_2;정밀하게 화석화된 깃털이 발견되었고, 폰 마이어 박사는 고대의 깃털 또는 날개라는 뜻을 담아 이를 시조새(아르카이옵테릭스)로 명명했습니다.
dino_fake_1860_title_3;존스토니, 아스트로돈 존스토니!
dino_fake_1860_3;존스턴 박사가 한 용상 동물의 이빨을 아스트로돈으로 명명한 이후, 이제 라이디 박사가 존스턴 박사를 기리는 종소명을 부여하여 그 이름을 완성했습니다.
dino_fake_1860_title_4;라일랍스
dino_fake_1860_4;코프 교수가 메갈로사우루스 및 디노돈과 연관이 있는 탐욕스럽고 거대한 공포의 공룡을 발견했다고 발표했습니다.
dino_fake_1860_title_5;엘라스모사우루스
dino_fake_1860_5;E.D. 코프가 플레시오사우루스와 연관이 있지만 훨씬 긴 꼬리를 가진 새로운 해양 파충류에 대해 보고합니다.
dino_fake_1860_title_6;시조새
dino_fake_1860_6;시조새 화석이 바이에른에서 발견되었습니다. '최초의 새'이자 '공룡과 새 사이의 잃어버린 고리'로 묘사된 이것은, 다윈의 진화론을 입증하는 데 필요했던 결정적인 증거가 되고 있습니다.
dino_fake_1860_title_7;힙셀로사우루스
dino_fake_1860_7;마트롱 씨가 퓌보 분지에서 거대한 알껍데기 조각과 척추 모양으로 보아 수서 파충류로 짐작되는 동물을 발견하고 힙셀로사우루스라고 명명하여 보고했습니다.
dino_fake_1870_title_1;전쟁!
dino_fake_1870_1;마쉬 박사가 코프 박사가 엘라스모사우루스의 머리를 꼬리 쪽에 붙인 오류를 대중에게 공개적으로 보도한 후, 그들은 철천지원수가 되었으며 이제 맹렬한 과학 경쟁이 시작되었습니다.
dino_fake_1870_title_2;시조새에 관한 새로운 소식
dino_fake_1870_2;원시 조류인 시조새의 새로운 화석은 발톱과 이빨 등 충격적인 파충류의 특징을 보여줍니다. 진화론자들은 이 발견을 중대하게 다루며 이를 잃어버린 고리라 부르고 있습니다.
dino_fake_1870_title_3;헉슬리 교수의 광기!
dino_fake_1870_3;수많은 저명한 고생물학자들이 헉슬리 교수가 또 다른 터무니없는 진화론적 주장을 펼친 후 그의 정신 상태를 염려하고 있습니다. 파충류인 공룡과 새가 서로 연관되어 있다는 것입니다!
dino_fake_1870_title_4;스테고사우루스
dino_fake_1870_4;북아메리카 서부에서 기묘하고도 거대한 새로운 종류의 거북이 발견되었습니다. 마쉬 교수는 지붕 도마뱀이라는 뜻을 담아 이를 스테고사우루스라고 불렀습니다.
dino_fake_1870_title_5;프테라노돈
dino_fake_1870_5;O.C. 마쉬의 획기적인 발견. 북아메리카에서 발견된 비행 생물의 화석은 다른 익룡 종과 달리 완전히 이빨이 없는 상태였던 것으로 보입니다.
dino_fake_1870_title_6;아가타우마스
dino_fake_1870_6;와이오밍의 석탄층에 묻혀 있던 화석은 의심할 여지 없이 지금까지 알려진 가장 큰 육상 동물로서, E.D. 코프는 이를 '거인 중의 왕자의 잔해'라고 묘사했습니다.
dino_fake_1870_title_7;브리저 분지 발굴 작업
dino_fake_1870_7;마쉬, 코프, 라이디가 와이오밍의 브리저 분지 지역으로 발굴 작업을 옮겼습니다. 야영지가 불과 몇 마일 떨어져 있음에도 불구하고, 이 세 명의 최고 고생물학자들은 서로 한마디도 나누지 않는다고 전해집니다.
dino_fake_1870_title_8;불신임 투표
dino_fake_1870_8;마쉬 교수는 권위 있는 국립과학아카데미의 회원으로 선출된 것에 환호하고 있습니다. 코프 교수는 투표에서 유일하게 '반대' 표를 던진 학회원인 것으로 밝혀졌습니다.
dino_fake_1870_title_9;헤스페로르니스
dino_fake_1870_9;마시 교수는 강력한 뒷다리로 가속하고 이빨이 있는 부리를 이용해 물속의 먹이를 낚아채는, 크기가 크고 날개가 거의 없는 수생 조류인 헤스페로르니스의 발견을 발표했습니다.
dino_fake_1870_title_10;수족 영토의 마시
dino_fake_1870_10;마시 교수와 그의 일행은 사우스다코타의 화이트 강 배들랜드에 있는 가장 유망한 발굴지에 도달하기 위해 지금까지 중 가장 대담한 탐험으로 수족 영토를 횡단했습니다.
dino_fake_1870_title_11;마시의 야영지 습격!
dino_fake_1870_11;O.C. 마시와 그의 일행이 야영지를 향한 인디언 전투원의 습격에서 간신히 탈출했다고 보도되었습니다. 서둘러 후퇴했음에도 불구하고, 그들은 거의 2톤에 달하는 발굴된 뼈를 확보할 수 있었습니다.
dino_fake_1870_title_12;척추동물 풍년
dino_fake_1870_12;코프 교수는 자신이 소속되어 있던 지질 조사 탐험대에서 이탈한 후 샌후안강 지역에서 수십 종의 새로운 척추동물 종을 발견했다고 보고했습니다.
dino_fake_1870_title_13;코모 블러프
dino_fake_1870_13;O.C. 마시는 와이오밍주 코모 블러프의 발굴 현장에서 그의 대리인 두 명이 통나무만큼 굵고 긴 뼈들을 발굴했다고 밝혔습니다. 새롭게 발견된 많은 종 중에는 디플로도쿠스와 알로사우루스가 포함되어 있습니다.
dino_fake_1880_title_1;브론토사우루스?
dino_fake_1880_1;고생물학자 O.C. 마시가 발굴하고 조립한 브론토사우루스는 비전문가의 눈에는 이미 알려진 아파토사우루스와 의심스러울 정도로 비슷해 보입니다. 그렇지만 두개골은 완전히 다릅니다.
dino_fake_1880_title_2;말과 관련된 사기?
dino_fake_1880_2;E.D. 코프는 O.C. 마시가 말의 계보와 진화에 관한 코왈레프스키의 연구를 훔쳤다고 비난합니다. 그는 '그 내용 중 새로운 것은 옳지 않고, 옳은 것은 새롭지 않다'고 결론지었습니다.
dino_fake_1880_title_3;마시의 반박
dino_fake_1880_3;'최소한 코왈레프스키는 가책에 시달리다 스스로 머리에 총을 쏘아 자신의 불행한 경력을 끝냈지만, 코프는 여전히 뉘우치지 않고 살고 있습니다'라고 O.C. 마시는 라이벌의 공격에 대응하여 썼습니다.
dino_fake_1880_title_4;코프의 바이블
dino_fake_1880_4;E.D. 코프 교수는 자신의 역작인 '서부 제3기 지층의 척추동물(The Vertebrata of the Tertiary Formations of the West)'을 출판했습니다. 이 책은 해당 주제에 대한 가장 포괄적인 연구를 제공하는 천 페이지 분량의 책입니다.
dino_fake_1880_title_5;코프의 마시아나
dino_fake_1880_5;코프는 마시의 과학적 명성을 무너뜨리기 위해 그의 전·현직 직원들을 인터뷰하여 마시의 과학적 오류와 비윤리적 관행에 대한 방대한 설명을 수집합니다.
dino_fake_1880_title_6;이구아노돈, 사방에 이구아노돈이!
dino_fake_1880_6;베르니사르 마을에서 공룡들이 엄청난 양으로 발견되었습니다. 돌로 박사는 이를 연구하고 오래전 맨텔 박사가 주장했던 것처럼 이 동물이 이족보행 동물이라는 결론을 내렸습니다.
dino_fake_1880_title_7;공룡의 분류
dino_fake_1880_7;이전의 여러 분류를 거쳐, 실리 교수는 이제 공룡을 골반 구조에 따라 분류해야 한다고 제안했습니다. 이로써 용반목과 조반목이라는 두 개의 그룹이 나타났습니다.
dino_fake_1880_title_8;스테고사우루스에 대한 소식
dino_fake_1880_8;스테고사우루스의 더 많은 표본이 발견된 후, 마시 교수는 이 동물이 새롭고 특이한 종류의 공룡이라고 생각합니다.
dino_fake_1880_title_9;용각류
dino_fake_1880_9;이 새로운 공룡 그룹은 알려진 가장 큰 육상 동물의 크기를 훨씬 초과합니다. 아틀란토사우루스, 티타노사우루스, 모로사우루스, 아파토사우루스 및 디플로도쿠스 등이 그들 중 일부입니다.
dino_fake_1880_title_10;케라톱스
dino_fake_1880_10;마시 교수에 의해 새로운 종류의 뿔 달린 공룡이 발견되었습니다. 이 동물은 이런 거대한 사우루스들의 다양성이 의심했던 것보다 더 크다는 것을 보여줍니다.
dino_fake_1880_title_11;알로사우루스
dino_fake_1880_11;이 거대한 육식 공룡은 분명 악몽 속에서 튀어나온 것이 틀림없습니다. 거대한 이빨을 가진 두개골은 공포스럽다고 마시 교수는 보고합니다.
dino_fake_1880_title_12;케라토사우루스
dino_fake_1880_12;케라토사우루스라 불리는 공룡의 유합된(강직된) 중족골 발견으로 조류와 공룡 사이의 관계가 더 가까워졌다고 O.C. 마시는 말합니다.
dino_fake_1880_title_13;코엘로피시스
dino_fake_1880_13;코프 교수는 공룡 뼈의 특징 중 하나인 “속이 빈 형태”를 의미하는 코엘로피시스라는 이름의 새로운 공룡 종에 대해 보고합니다.
dino_fake_1880_title_14;암피코엘리아스 프라길리무스
dino_fake_1880_14;코프 교수는 암피코엘리아스 프라길리무스라는 새로운 공룡 종을 서술했습니다. 척추골과 대퇴골의 크기가 너무 거대해서 이 짐승의 진짜 크기는 알려지지 않은 채로 남을 것입니다.
dino_fake_1880_title_15;카마라사우루스
dino_fake_1880_15;E.D. 코프가 서술한 이 땅딸막한 거대 공룡은 다행히도 초식동물이었으며, 우리의 마음이 더 큰 악몽에 시달리지 않게 구해주었습니다.
dino_fake_1890_title_1;트리케라톱스
dino_fake_1890_1;O.C. 마시는 자신이 이전에 들소와 비슷한 크고 특이한 플라이오세 포유류라고 믿었던 뿔이 있는 두개골이 사실은 그가 트리케라톱스라고 이름 붙인 공룡의 것이라고 발표했습니다.
dino_fake_1890_title_2;과학자들의 전쟁
dino_fake_1890_2;정부가 자신의 뼈 수집품을 압수하려 하자 격분한 코프는 '뉴욕 헤럴드'에 마시와 미국 지질조사국(USGS) 내 그의 정치적 동맹들을 맹비난하는 일련의 글을 연재합니다.
dino_fake_1890_title_3;USGS 자금 삭감
dino_fake_1890_3;미국 지질조사국 내의 자금 남용 및 편애에 대한 최근의 보고로 인해, 의회는 해당 기관의 자금을 삭감하고 수석 고생물학자 부서를 해체합니다.
dino_fake_1890_title_4;토로사우루스
dino_fake_1890_4;이 뿔이 있는 공룡은 알려진 동물 중 가장 큰 머리를 가진 종 중 하나였습니다. 이 종의 프릴은 트리케라톱스보다 훨씬 더 가늘고 깁니다.
dino_fake_1900_title_1;코프의 두개골
dino_fake_1900_1;코프는 마시의 두개골과 비교하여 두 라이벌의 지적 능력을 측정함으로써 갈등을 해결하고자, 죽은 후 자신의 두개골을 과학계에 기증했다고 전해집니다.
dino_fake_1900_title_2;마시의 두개골
dino_fake_1900_2;마시는 코프의 마지막 도전을 거부하며 자신의 두개골 기증을 거절했고, 라이벌의 두개골이 펜실베이니아 대학교의 나무 상자 속에 영원히 보관되는 신세가 되도록 처하게 함으로써 복수했습니다.
dino_fake_1920_title_1;벨로키랍토르
dino_fake_1920_1;피터 카이젠이 몽골에서 발견한 이 새로운 종은 지능적인 무리 사냥꾼이었던 것으로 여겨집니다. 카이젠 씨가 발굴된 표본을 '영리한 소녀'라고 부르는 것을 들을 수 있었습니다.
dino_fake_1930_title_1;냐사사우루스
dino_fake_1930_1;프랜시스 '렉스' 패링턴이 탄자니아 남부의 냐사 호수 근처에서 냐사사우루스의 화석을 발견했습니다. 유골은 매우 불완전하지만 알려진 다른 어떤 공룡보다 앞선다고 주장되고 있습니다.
KEYNAME;TEXT
