MIL_FROM_TROOPS;병사와 육군
EVTOPTA90004;우리는 당신을 돕기 위해 여기에 왔소.
EVTNAME90005;$CB_TARGET_NAME_ADJ$ 대실패
EVTDESC90005;우리는 단지 $CB_TARGET_NAME$을(를) 우리의 세력권에 편입시켜 돕고자 한 것일 뿐이나, 저들은 이에 대해 매우 흥분하고 있습니다. 관련된 모두에게 볼썽사나운 일이지만, 저들의 행동은 오히려 저들이 우리의 번영에 동참하도록 강권하는 것에 대한 국제 여론을 부정적으로 돌아버리게 만들었습니다. 우리는 단지 $CB_TARGET_NAME$을(를) 우리의 세력권에 편입시켜 돕고자 한 것일 뿐이나, 저들은 이에 대해 매우 흥분하고 있습니다. 관련된 모두에게 볼썽사나운 일이지만, 저들의 행동은 오히려 저들이 우리의 번영에 동참하도록 강권하는 것에 대한 국제 여론을 부정적으로 돌아버리게 만들었습니다.
EVTOPTA90005;좋은 선택이군.
EVTNAME90006;$CB_TARGET_NAME_ADJ$ 제국주의의 종식
EVTDESC90006;어째서 $CB_TARGET_NAME$(이)가 최고의 식민지들을 모두 차지해야 합니까? 그것은 명백히 불공평합니다! 저들은 원주민들을 제대로 착치- 아니, 교육하지도 않고 있을 것입니다! 무슨 조치라도 취해야 합니다, 우리도 태양 아래의 자리를 차지할 자격이 있습니다!
EVTOPTA90006;좋은 선택이군.
EVTNAME90007;식민지 차질
EVTDESC90007;우리의 정당한 요구가 지극히 온건한 것임에도 불구하고, 우리와 $CB_TARGET_NAME$ 사이의 식민지 균형 재조정에 대한 국제적 지지는 없는 것 같습니다. 비록 이것이 차질을 빚기는 했지만, 언젠가 해가 지지 않는 제국을 우리가 차지하게 될 것임에는 의심의 여지가 없습니다.
EVTOPTA90007;좋은 선택이군.
EVTNAME90008;이제 행동할 때다!
EVTDESC90008;모두가 동의하듯이 $CB_TARGET_NAME$(은)는 너무 기고만장해졌습니다. 너무 오랜 세월 동안 그들은 하고자 하는 대로 할 수 있다고 생각하며 세계 무대를 활보해 왔습니다. 다행스럽게도 마침내 세계 각국이 동의했고 우리 국민도 전폭적으로 우리의 뒤를 지지하고 있습니다. $CB_TARGET_NAME$의 콧대를 꺾어놓아야 할 때입니다.
EVTOPTA90008;좋은 선택이군.
EVTNAME90009;어리석은 바보들!
EVTDESC90009;$CB_TARGET_NAME$의 오만함은 우리에게 명백하지만, 어찌된 일인지 다른 이들은 이를 보지 못하는 것 같습니다. 소위 그들의 "주권"이라는 명목이 그들이 자체적인 군대를 보유하고 우리의 뜻에 굽히지 않고 제멋대로 행동하게 허용해 주고 있습니다. 심지어 오만한 자들은 다름 아닌 우리라는 암시까지 나왔습니다!
EVTOPTA90009;좋은 선택이군.
VOTER_ISSUES;유권자 쟁점
OL_VIEW_NATFOCUS;§Y국가 중점§W 보기를 켜거나 끕니다
OL_VIEW_NATFOCUS_HEADER;국가 중점
OL_VIEW_NATFOCUS_TOOLTIP;§Y$STATE$§!의 국가 중점 (§Y$FOCUS$§!)
OL_VIEW_RALLYPOINTS;§Y집결지§W 보기를 켜거나 끕니다
OL_VIEW_RALLYPOINTS_HEADER;집결지
OL_VIEW_RALLYPOINTS_TOOLTIP;모집이 완료된 근처의 모든 부대가 §Y$PROV$§!(으)로 이동합니다
OL_VIEW_RALLYPOINTS_MERGE_TOOLTIP;또한 이곳에 도착하면 §Y$LIMIT$§!까지 병합을 시도합니다.
OL_VIEW_MERGE_ON;§G(병합 켜짐)§!
OL_VIEW_MERGE_OFF;§Y(병합 꺼짐)§!
OUR_CB_DETECTED_SETUP;우리의 전쟁 정당화 시도가 발각되었을 때
OUR_CB_DETECTED_HEADER;$MONARCHTITLE$
OUR_CB_DETECTED_1;전쟁 정당화
OUR_CB_DETECTED_2;우리가 다음을 명분으로 시도한 전쟁 정당화:
OUR_CB_DETECTED_3;§Y$CASUS$§! 전쟁 명분
OUR_CB_DETECTED_4;대상:
OUR_CB_DETECTED_5;$TARGET$
OUR_CB_DETECTED_6;(이)가 발각되었습니다! 이로 인해 우리는 §R$BADBOY$§!의 악명을 얻었습니다
OUR_CB_DETECTED_LOG;$TARGET$에 대한 우리의 전쟁 정당화 시도가 발각되었습니다.
OUR_CB_DETECTED_BTN1;확인
OUR_CB_DETECTED_BTN2;확인
OUR_CB_DETECTED_BTN3;이동
OUR_CB_DETECTED_MAP;*
CB_TOWARDS_US_DETECTED_SETUP;우리에 대한 전쟁 정당화 시도가 발각되었을 때
CB_TOWARDS_US_DETECTED_HEADER;$MONARCHTITLE$
CB_TOWARDS_US_DETECTED_1;전쟁 정당화
CB_TOWARDS_US_DETECTED_2;우리를 상대로 다음을 명분으로 시도된 전쟁 정당화:
CB_TOWARDS_US_DETECTED_3;§Y$CASUS$§! 전쟁 명분
CB_TOWARDS_US_DETECTED_4;시도한 국가:
CB_TOWARDS_US_DETECTED_5;$COUNTRY$
CB_TOWARDS_US_DETECTED_6;(이)가 발각되었습니다!
CB_TOWARDS_US_DETECTED_LOG;$COUNTRY$(이)가 우리를 상대로 시도한 전쟁 정당화 과정이 발각되었습니다.
CB_TOWARDS_US_DETECTED_BTN1;확인
CB_TOWARDS_US_DETECTED_BTN2;확인
CB_TOWARDS_US_DETECTED_BTN3;이동
CB_TOWARDS_US_DETECTED_MAP;*
OTHERS_CB_DETECTED_SETUP;다른 국가에 대한 전쟁 정당화 시도가 발각되었을 때
OTHERS_CB_DETECTED_HEADER;$MONARCHTITLE$
OTHERS_CB_DETECTED_1;전쟁 정당화
OTHERS_CB_DETECTED_2;다음을 명분으로 시도된 전쟁 정당화:
OTHERS_CB_DETECTED_3;§Y$CASUS$§! 전쟁 명분
OTHERS_CB_DETECTED_4;$TARGET$을(를) 상대로 시도한 국가:
OTHERS_CB_DETECTED_5;$COUNTRY$
OTHERS_CB_DETECTED_6;(이)가 발각되었습니다!
OTHERS_CB_DETECTED_LOG;$COUNTRY$(이)가 $TARGET$을(를) 상대로 시도한 전쟁 정당화 과정이 발각되었습니다.
OTHERS_CB_DETECTED_BTN1;확인
OTHERS_CB_DETECTED_BTN2;확인
OTHERS_CB_DETECTED_BTN3;이동
OTHERS_CB_DETECTED_MAP;*
CB_gen_plus;전쟁 명분 생성 속도 증가
CB_gen_minus;전쟁 명분 생성 속도 감소
CB_gen_plus_desc;전쟁 정당화를 더 빠르게 수행할 수 있습니다
CB_gen_minus_desc;이제 전쟁 정당화에 더 오랜 시간이 걸립니다
BUILDING_AT_MAX_TERRAIN;레벨 $CURR$/$MAX$ (§R$TERRAINMOD$§! $TERRAIN$)
PRODUCTION_INVEST;해외 투자
PRODUCTION_TAB_INVEST;타국에 대한 해외 투자 개요를 표시합니다
FLAG_SUBMENU_INTERESTING;관심 국가로 설정합니다.
FLAG_SUBMENU_NOTINTERESTING;관심 국가 설정에서 §Y제외§!합니다.
MESSAGE_TYPE_INTERESTING;관심
MESSAGE_TYPE_NOT_INTERESTING;기타
MESSAGE_SEARCH;검색:
MESSAGE_BUTTON_SEARCH;검색
MESSAGE_BUTTON_CLEAR;지우기
MESSAGE_SEARCH_TOOLTIP;목록을 필터링하려면 §Y스페이스바§!로 구분하여 핵심어를 입력하십시오.
SIDEMENU_menubar_msg_settings;클릭하여 메시지 필터 설정을 엽니다.
RULE_BUILD_FACTORY_INVEST;해외 공장 건설
RULE_EXPAND_FACTORY_INVEST;해외 공장 확장
RULE_OPEN_FACTORY_INVEST;해외 공장 개장
RULE_BUILD_RAILWAY_INVEST;투자자의 해외 철도 건설
RULE_CAN_INVEST_IN_POP_PROJECTS;POP 프로젝트 투자
RULE_POP_BUILD_FACTORY_INVEST;투자자의 해외 공장 건설
RULE_POP_EXPAND_FACTORY_INVEST;투자자의 해외 공장 확장
RULE_POP_OPEN_FACTORY_INVEST;투자자의 해외 공장 개장
PRODUCTION_OUR_INVEST;우리 투자액: $AMOUNT$¤ ($PERCENTAGE$%)
MSG_FILTER_HEADER;메시지 필터 설정
MSG_FILTER_TITLE;우리의 관심국:
MSG_FILTER_DESELECT;모두 선택 해제
MSG_FILTER_BEST_GUESS;자동 선택
MSG_FILTER_ENEMIES;적국
MSG_FILTER_ALLIES;동맹국
MSG_FILTER_NEIGHBOURS;인접국
MSG_FILTER_SPHERE;세력권
PRODUCTION_BROWSE_INVEST;기타
DIPLOMACY_OPINION_INVESTMENT;§Y$GP_ADJ$§W 투자액: §Y$VALUE$§!¤
MSG_FILTER_TOOLTIP_HEADER;메시지 필터 설정 창에서 관심 있는 국가를 선택할 수 있습니다. 모든 메시지와 알림은 해당 중요 국가들에 대해서만 표시됩니다.
MSG_FILTER_TOOLTIP_DELAYED;§Y좌클릭§!시 현재 선택 항목을 대체합니다.\n§Y우클릭§!시 현재 선택 항목에 추가합니다.\n§YShift + 좌클릭§!시 필터를 토글합니다.
MSG_FILTER_TOOLTIP_DESELECT;목록에서 모든 국가를 선택 해제합니다.
MSG_FILTER_TOOLTIP_BESTGUESS;자동으로 관심국을 추천하여 선택합니다.
MSG_FILTER_TOOLTIP_ENEMIES;적국을 선택합니다.
MSG_FILTER_TOOLTIP_ALLIES;동맹국을 선택합니다.
MSG_FILTER_TOOLTIP_NEIGHBOURS;인접국을 선택합니다.
MSG_FILTER_TOOLTIP_SPHERE;세력권 내의 국가를 선택합니다. (열강인 경우)
MSG_FILTER_TOOLTIP_CONTINENT;해당 대륙에 프로빈스를 소유한 국가를 선택합니다.
PRODUCTION_NOT_DESTROY_FACTORY_BECAUSE_FOREIGN_TOOLTIP;타국의 공장을 철거할 권한이 없습니다.
INVESTMENT_PENALTY_FACTOR;타국 투자자
SPHERE_SHARE_NOT_IN_SPHERE;세력권에 속해 있지 않아 세계 시장에 자유롭게 판매합니다.
SPHERE_SHARE_UNCIV;비문명국으로, 모든 자원의 §Y$PERCENTAGE$%§!를 종주국 시장에 제공합니다.
SPHERE_SHARE_2NDRANK;준열강으로, 모든 자원의 §Y$PERCENTAGE$%§!를 종주국 시장에 제공합니다 (기본값: §Y$BASE_PERCENTAGE$%§!)
SPHERE_SHARE_CIV;문명국으로, 모든 자원의 §Y$PERCENTAGE$%§!를 종주국 시장에 제공합니다 (기본값: §Y$BASE_PERCENTAGE$%§!)
RULE_ALLOW_FOREIGN_INVESTMENT;외국 자본 투자 허용
POLITICS_DECISIONS_TAB;디시전
POLITICS_MOVEMENTS_TAB;운동
EVTNAME90100;언론의 자유에 대한 열망
EVTNAME90102;공개 집회에 대한 열망
EVTNAME90104;노동조합에 대한 열망
EVTDESC90100;시민들이 자유로운 언론을 갈구하고 있으며, 인접국이 이 개혁을 채택함에 따라 그 열망이 더욱 강해지고 있습니다.
EVTOPTA90100;어떻게든 해결할 수 있을 것이다
EVTOPTB90100;절대 안 된다!
EVTDESC90102;시민들이 공개 집회의 권리를 갈구하고 있으며, 인접국이 이 개혁을 채택함에 따라 그 열망이 더욱 강해지고 있습니다.
EVTDESC90104;시민들이 노동조합을 갈구하고 있으며, 인접국이 이 개혁을 채택함에 따라 그 열망이 더욱 강해지고 있습니다.
EVTNAME90101;깨진 약속
EVTDESC90101;언론 개혁을 약속했음에도 불구하고 아무것도 변하지 않아 시민들이 다소 화가 났습니다.
EVTOPTA90101;얼마나 우울한가
EVTDESC90103;공개 집회를 허용하겠다고 약속했음에도 불구하고, 아무것도 변하지 않아 시민들이 다소 화가 났습니다.
EVTOPTA90103;나는 군중이 싫다
EVTDESC90105;노동조합을 허용하겠다고 약속했음에도 불구하고, 아무것도 변하지 않아 시민들이 다소 화가 났습니다.
EVTOPTA90105;빨갱이가 되느니 죽는 게 낫다!
MOVEMENT_RADICALISM_BASE;기본값: §R$VAL$§%§!
MOVEMENT_RADICALISM_ACCUMULATED;탄압: §R$VAL$§%§!
MOVEMENT_RADICALISM_GRANTED_REFORMS;부여된 개혁: §G$VAL$§%§!
MOVEMENT_RADICALISM_CULTURE;$CULTURE$: $VAL$
ALREADY_SUPPRESSED;운동이 급진적이지 않아 탄압할 수 없습니다.
EVTNAME90900;중화
EVTDESC90900;우리는 유럽 오랑캐들이 우리를 "문명국"으로 간주할 만큼 충분히 진보했으며, 그들은 우리의 중앙집권화 권리를 존중하고 중국 전역에 대한 외세의 영향력을 거부해야만 합니다.
EVTOPTA90900;우리는 다시 하나가 되었다
EVTDESC90901;청나라의 새로운 지위로 인해 그들은 우리가 자신들의 권위에 굴복할 것을 요구하고 있습니다. 이를 받아들이면 우리의 독립국 지위는 끝날 것입니다.
EVTOPTA90901;우리는 다시 하나가 되었다
EVTOPTA90910;서부로 가는 마차!
SUPPRESSION_POINTS;탄압 점수
school_reforms;학교 체계
no_schools;학교 체계 없음
low_schools;기초 학교 체계
acceptable_schools;수용 가능한 학교 체계
good_schools;훌륭한 학교 체계
no_schools_l;학교 체계 없음
low_schools_l;기초 학교 체계
acceptable_schools_l;수용 가능한 학교 체계
good_schools_l;훌륭한 학교 체계
no_schools_desc;공립 학교가 없습니다.
low_schools_desc;공립 학교가 드뭅니다.
acceptable_schools_desc;공립 학교가 흔합니다.
good_schools_desc;공립 학교가 정말 많습니다.
NATIONALIST_UNION_MOVEMENT;$COUNTRY_ADJ$ 통일 운동
NATIONALIST_LIBERATION_MOVEMENT;$COUNTRY$ 해방 운동
SUPRESSION_MONTHLY_GAIN;월간 획득: §G$VAL$§!
MODIFIER_EDUCATION_EFFICIENCY;교육 효율
MODIFIER_SUPPRESSION_POINT_GAIN;탄압 점수 획득
NOT_SOCIAL_MOVEMENT_STRENGTH_TR;사회 운동의 크기가 §Y$VAL$§W보다 작습니다.\n
SOCIAL_MOVEMENT_STRENGTH_TR;사회 운동의 크기가 §Y$VAL$§W보다 큽니다.\n
NOT_POLITICAL_MOVEMENT_STRENGTH_TR;정치 운동의 크기가 §Y$VAL$§W보다 작습니다.\n
POLITICAL_MOVEMENT_STRENGTH_TR;정치 운동의 크기가 §Y$VAL$§W보다 큽니다.\n
SUPPRESS;탄압
SUPPRESSION_DESC;이 운동을 탄압합니다. $VAL$ 점수가 소모되며 미래에 운동이 급진적이 될 확률이 증가합니다(§R+$HIT$§!).
CANT_SUPPRESS_DESC;이 운동을 탄압하려면 더 많은 점수가 필요합니다. 현재 §R$VAL$§!의 탄압 점수가 있으며, §Y$NEED$§!가 필요합니다.
REFORM_MOVEMENT_DESC;§Y$REFORM$§! 제정을 요구하는 운동
NATIONALIST_UNION_MOVEMENT_DESC;§Y$COUNTRY$§!의 형성을 요구하는 운동
NATIONALIST_LIBERATION_MOVEMENT_DESC;§Y$COUNTRY$§!의 해방을 요구하는 운동
SUPPRESSION_LABEL_DESC;탄압 점수는 대중 운동을 진압할 수 있는 정부 권력의 정도를 나타냅니다.
MOVEMENT_REFORM_SUPPORT;이 개혁의 입법을 추진하기 위해 크기가 $VAL$인 대중 운동이 존재합니다.
movement_no_slavery;노예제 폐지 운동
movement_yes_slavery;노예제 찬성 연맹
movement_landed_voting;참정권 운동
movement_wealth_weighted_voting;참정권 운동
movement_wealth_voting;참정권 운동
movement_universal_weighted_voting;참정권 운동
movement_universal_voting;참정권 운동
movement_party_appointed;정치적 대표성 운동
movement_appointed;정치적 대표성 운동
movement_state_equal_weight;정치적 대표성 운동
movement_population_equal_weight;정치적 대표성 운동
movement_first_past_the_post;정치적 대표성 운동
movement_jefferson_method;정치적 대표성 운동
movement_proportional_representation;정치적 대표성 운동
movement_no_meeting;공개 집회 폐지 운동
movement_yes_meeting;공개 집회 운동
movement_censored_press;검열 언론 운동
movement_free_press;자유 언론 운동
movement_state_controlled;국가 통제 노조 운동
movement_non_socialist;비사회주의 노조 운동
movement_all_trade_unions;자유 노동조합 운동
movement_harassment;유권자 권리 운동
movement_gerrymandering;유권자 권리 운동
movement_non_secret_ballots;유권자 권리 운동
movement_secret_ballots;유권자 권리 운동
movement_trinket_wage;최저 임금 운동
movement_low_minimum_wage;최저 임금 운동
movement_acceptable_minimum_wage;최저 임금 운동
movement_good_minimum_wage;최저 임금 운동
movement_fourteen_hours;최대 노동 시간 운동
movement_twelve_hours;최대 노동 시간 운동
movement_ten_hours;최대 노동 시간 운동
movement_eight_hours;최대 노동 시간 운동
movement_trinket_safety;안전한 노동 환경 운동
movement_low_safety;안전한 노동 환경 운동
movement_acceptable_safety;안전한 노동 환경 운동
movement_good_safety;안전한 노동 환경 운동
movement_trinket_subsidies;실업 보조금 운동
movement_low_subsidies;실업 보조금 운동
movement_acceptable_subsidies;실업 보조금 운동
movement_good_subsidies;실업 보조금 운동
movement_trinket_pensions;노령 보장 운동
movement_low_pensions;노령 보장 운동
movement_acceptable_pensions;노령 보장 운동
movement_good_pensions;노령 보장 운동
movement_trinket_health_care;보편적 의료 보장 운동
movement_low_health_care;보편적 의료 보장 운동
movement_acceptable_health_care;보편적 의료 보장 운동
movement_good_health_care;보편적 의료 보장 운동
movement_low_schools;보통 학교 운동
movement_acceptable_schools;보통 학교 운동
movement_good_schools;보통 학교 운동
POLITICS_MOVEMENTS;운동
POLITICS_ECONOMIC_REFORMS;경제 개혁
POLITICS_MILITARY_REFORMS;군사 개혁
NORMAL_CIVIL_WAR_NAME_USA_CSA_CSA;$ORDER$북부의 침략 전쟁
NORMAL_CIVIL_WAR_NAME_USA_CSA_USA;$ORDER$반란 전쟁
NORMAL_WAR_GUNBOAT_NAME;$ORDER$$SECOND_COUNTRY$에 대한 $FIRST$ 개입
NORMAL_WAR_GUNBOAT_NAME_FRA_MEX;$ORDER$제과점 전쟁
NORMAL_WAR_TAKE_NAME_USA_MEX_USA;$ORDER$미국-멕시코 전쟁
NORMAL_WAR_TAKE_NAME_USA_MEX_MEX;$ORDER$미국의 멕시코 침공
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_USA;$ORDER$미국-멕시코 전쟁
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_MEX;$ORDER$미국의 멕시코 침공
NORMAL_WAR_GUNBOAT_NAME_ENG_CHI;$ORDER$아편 전쟁
NORMAL_WAR_ADD_SPHERE_NAME_ENG_CHI;$ORDER$아편 전쟁
NORMAL_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST$ 독립 전쟁
NORMAL_WAR_TAKE_NAME_CHL_PEU;$ORDER$태평양 전쟁
NORMAL_WAR_TAKE_CORE_NAME_CHL_PEU;$ORDER$태평양 전쟁
NORMAL_WAR_TAKE_NAME_CHL_BOL;$ORDER$태평양 전쟁
NORMAL_WAR_TAKE_CORE_NAME_CHL_BOL;$ORDER$태평양 전쟁
NORMAL_WAR_CONQUEST_NAME_ENG_TRN;$ORDER$보어 전쟁
NORMAL_WAR_CONQUEST_NAME_ENG_ORA;$ORDER$보어 전쟁
NORMAL_WAR_TAKE_NAME_ENG_TRN;$ORDER$보어 전쟁
NORMAL_WAR_TAKE_NAME_ENG_ORA;$ORDER$보어 전쟁
NORMAL_WAR_TAKE_NAME_ORA_ENG;$ORDER$보어 전쟁
NORMAL_WAR_TAKE_NAME_TRN_ENG;$ORDER$보어 전쟁
NORMAL_WAR_PUPPET_NAME_ENG_TRN;$ORDER$보어 전쟁
NORMAL_WAR_PUPPET_NAME_ENG_ORA;$ORDER$보어 전쟁
NORMAL_WAR_PUPPET_NAME;$ORDER$$SECOND_COUNTRY$에 대한 $FIRST$ 통제권 전쟁
NORMAL_WAR_BOXER_NAME;$ORDER$의화단 운동
NORMAL_WAR_PUPPET_NAME_ENG_USA;$ORDER$$SECOND$ 독립 전쟁
NORMAL_WAR_NAME_ENG_USA;$ORDER$$SECOND$ 독립 전쟁
NORMAL_WAR_TAKE_NAME_ENG_USA;$ORDER$$SECOND$ 독립 전쟁
NORMAL_WAR_TAKE_CORE_NAME_ENG_USA;$ORDER$$SECOND$ 독립 전쟁
NORMAL_WAR_CONQUEST_NAME_ENG_USA;$ORDER$$SECOND$ 독립 전쟁
NORMAL_WAR_HUMILIATE_NAME;$ORDER$$FIRST$-$SECOND$ 명예 전쟁
NORMAL_WAR_UNIFICATION_NAME_PRU_FRA;$ORDER$프로이센-프랑스 전쟁
NORMAL_WAR_UNIFICATION_NAME_NGF_FRA;$ORDER$프로이센-프랑스 전쟁
CAN_INVEST_IN_RAILROADS;철도 투자 허용
land_reform;토지 개혁
land_reform_l;토지 개혁
no_land_reform;토지 개혁 없음
yes_land_reform;토지 개혁
no_land_reform_desc;토지 개혁 없음
yes_land_reform_desc;더욱 효과적인 농업 및 광업을 가져오는 토지 권리의 재분배
admin_reform;행정 개혁
admin_reform_l;행정 개혁
no_admin_reform;행정 개혁 없음
yes_admin_reform;행정 개혁
no_admin_reform_desc;행정 개혁 없음
yes_admin_reform_desc;이제 우리 행정부는 현대적이고 효율적입니다.
finance_reform;금융 개혁
finance_reform_l;금융 개혁
no_finance_reform;금융 개혁 없음
yes_finance_reform;금융 개혁 제정
finance_reform_two;국제 부채
no_finance_reform_desc;금융 개혁 없음
yes_finance_reform_desc;금융 개혁
finance_reform_two_desc;이제 다른 국가에서 자금을 대출받을 수 있습니다
education_reform;교육 개혁
education_reform_l;교육 개혁
no_education_reform;교육 개혁 없음
yes_education_reform;개혁된 체제
no_education_reform_desc;교육 개혁 없음
yes_education_reform_desc;우리 국가의 기본적인 조직화된 교육
transport_improv;교통 체제
transport_improv_l;교통 체제
no_transport_improv;개선되지 않음
yes_transport_improv;개선됨
no_transport_improv_desc;원시적인 교통 체제입니다
yes_transport_improv_desc;현대적인 교통 체제입니다
pre_indust;초기 산업화
pre_indust_l;초기 산업화
no_pre_indust;옛 방식을 고수하다
yes_pre_indust;산업적 진보
no_pre_indust_desc;우리에게 산업은 필요하지 않습니다
yes_pre_indust_desc;외국 고문의 도움으로 기본적인 공장을 건설합니다. 이것이 산업 혁명의 시작일 수 있을까요?
industrial_construction;산업 시설 건설
industrial_construction_l;산업 시설 건설
no_industrial_construction;산업 시설 건설 없음
yes_industrial_construction;산업 시설 건설
no_industrial_construction_desc;발전된 공장이 없습니다
yes_industrial_construction_desc;외국 고문이 더 진보된 공장 건설을 돕습니다
foreign_training;훈련 방식
foreign_training_l;훈련 방식
no_foreign_training;현지 훈련 방식
yes_foreign_training;외국 훈련 방식
no_foreign_training_desc;병력이 전통적인 방식으로 훈련받습니다
yes_foreign_training_desc;병력이 외국 군사 고문이나 기술을 통해 훈련받습니다
foreign_weapons;외국제 무기
foreign_weapons_l;외국제 무기
no_foreign_weapons;현지 무기
yes_foreign_weapons;수입 무기
no_foreign_weapons_desc;전통 무기
yes_foreign_weapons_desc;이것이 내 붐스틱이다!
military_constructions;군사 시설
military_constructions_l;군사 시설
no_military_constructions;단순한 시설
yes_military_constructions;발전된 시설
no_military_constructions_desc;요새 없음
yes_military_constructions_desc;효과적인 요새
foreign_officers;장교 훈련
foreign_officers_l;장교 훈련
no_foreign_officers;현지 장교 훈련
yes_foreign_officers;외국 장교 훈련
no_foreign_officers_desc;현지 장교들이 병력을 이끕니다
yes_foreign_officers_desc;이제 우리 병력은 세계 최고입니다
army_schools;육군 훈련
army_schools_l;육군 훈련
no_army_schools;임시방편
yes_army_schools;육군 사관학교
no_army_schools_desc;우리는 전장에서 배울 것입니다
yes_army_schools_desc;장교들은 병사들을 전투로 이끌기 전에 훌륭한 훈련을 받습니다
foreign_naval_officers;해군 장교
foreign_naval_officers_l;해군 장교
no_foreign_naval_officers;현지 해군 장교
yes_foreign_naval_officers;외국 해군 장교
no_foreign_naval_officers_desc;현지 장교들이 함선을 지휘합니다
yes_foreign_naval_officers_desc;외국 장교들이 선장들에게 조언을 제공합니다
naval_schools;해군 훈련
naval_schools_l;해군 훈련
no_naval_schools;임시방편
yes_naval_schools;해군 사관학교
no_naval_schools_desc;실전 지향
yes_naval_schools_desc;이론 선행
foreign_navies;외국제 해군 부대
foreign_navies_l;외국제 해군 부대
no_foreign_navies;국내 건조 함선
yes_foreign_navies;수입 함선
no_foreign_navies_desc;국내에서 건조된 함선입니다
yes_foreign_navies_desc;서구에서 튼튼한 함선 설계도를 수입했습니다
cut_down_to_size_boxer;의화단 운동 진압
cut_down_to_size_boxer_desc;다른 §Y국가§W에게 군비 제한 및 배상금 지불을 강요합니다
NUMBER_OF_REBELS_READY;§Y봉기에 참여할 준비가 된 반란군 여단§!
NUMBER_OF_REBELS_ACTIVE;§Y반란을 일으켜 활동 중인 반란군 여단§!
TECH_YEAR_MODIFIER;알려진 연도에 따른 비용 보정치: $VAL$
ECONOMICREFORM_SETUP;경제 개혁을 제정할 때
ECONOMICREFORM_HEADER;$COUNTRY$ 정치 뉴스
ECONOMICREFORM_1;$COUNTRY$의 경제 개혁
ECONOMICREFORM_2;$MONARCHTITLE$이시여, 다음 법안이 제정되었습니다:
ECONOMICREFORM_3;$ISSUE$
ECONOMICREFORM_4;분야:
ECONOMICREFORM_5;$CATEGORY$
ECONOMICREFORM_6;*
ECONOMICREFORM_LOG;$CATEGORY$ 분야의 정책을 $ISSUE$(으)로 제정했습니다.
ECONOMICREFORM_BTN1;확인
ECONOMICREFORM_BTN2;확인
ECONOMICREFORM_BTN3;이동
ECONOMICREFORM_MAP;*
ECONOMICREFORM_BAD_SETUP;경제 개혁을 철회할 때
ECONOMICREFORM_BAD_HEADER;$COUNTRY$ 정치 뉴스
ECONOMICREFORM_BAD_1;$COUNTRY$의 경제 개혁 철회
ECONOMICREFORM_BAD_2;$MONARCHTITLE$이시여, 다음 분야의 혜택이 철회되었습니다:
ECONOMICREFORM_BAD_3;$CATEGORY$
ECONOMICREFORM_BAD_4;$OLD$에서 $ISSUE$(으)로.
ECONOMICREFORM_BAD_5;*
ECONOMICREFORM_BAD_6;*
ECONOMICREFORM_BAD_LOG;$CATEGORY$ 분야의 정책을 $OLD$에서 $ISSUE$(으)로 철회했습니다.
ECONOMICREFORM_BAD_BTN1;확인
ECONOMICREFORM_BAD_BTN2;확인
ECONOMICREFORM_BAD_BTN3;이동
ECONOMICREFORM_BAD_MAP;*
MILITARYREFORM_SETUP;군사 개혁을 제정할 때
MILITARYREFORM_HEADER;$COUNTRY$ 정치 뉴스
MILITARYREFORM_1;$COUNTRY$의 군사 개혁
MILITARYREFORM_2;$MONARCHTITLE$이시여, 다음 법안이 제정되었습니다:
MILITARYREFORM_3;$ISSUE$
MILITARYREFORM_4;분야:
MILITARYREFORM_5;$CATEGORY$
MILITARYREFORM_6;*
MILITARYREFORM_LOG;$CATEGORY$ 분야의 정책을 $ISSUE$(으)로 제정했습니다.
MILITARYREFORM_BTN1;확인
MILITARYREFORM_BTN2;확인
MILITARYREFORM_BTN3;이동
MILITARYREFORM_MAP;*
MILITARYREFORM_BAD_SETUP;군사 개혁을 철회할 때
MILITARYREFORM_BAD_HEADER;$COUNTRY$ 정치 뉴스
MILITARYREFORM_BAD_1;$COUNTRY$의 군사 개혁 철회
MILITARYREFORM_BAD_2;$MONARCHTITLE$이시여, 다음 분야의 혜택이 철회되었습니다:
MILITARYREFORM_BAD_3;$CATEGORY$
MILITARYREFORM_BAD_4;$OLD$에서 $ISSUE$(으)로.
MILITARYREFORM_BAD_5;*
MILITARYREFORM_BAD_6;*
MILITARYREFORM_BAD_LOG;$CATEGORY$ 분야의 정책을 $OLD$에서 $ISSUE$(으)로 철회했습니다.
MILITARYREFORM_BAD_BTN1;확인
MILITARYREFORM_BAD_BTN2;확인
MILITARYREFORM_BAD_BTN3;이동
MILITARYREFORM_BAD_MAP;*
MODIFIER_CIVILIZATION_PROGRESS;문명화 진행도
SUPPRESSION_TECH;탄압 효율
REFORM_RESEARCH_COST;연구 비용: §Y$COST$§!
POLITICS_CIVILIZE;서구화
CIVILIZE_DESC;서구의 사상을 전적으로 수용합니다. 이를 통해 우리의 세력권 종주국의 기술적 진보에 접근할 수 있게 될 것입니다.
CIVILIZE_NO_MASTER_DESC;서구의 사상을 전적으로 수용합니다. 이를 통해 전 세계의 기술적 진보에 접근할 수 있게 될 것입니다.
INFLUENCE_RELATION;관계도
