UNIT_BUILD_TIME_IW;$VAL$일.
EVTDESC16070;"우리의 특수한 제도와 관련된 그 모든 혼란스러운 논쟁들을 영원히, 또 확실히 종식시켰습니다."\n\n그의 말은 꽤나 부드럽게 전해졌지만, 노예제라는 필수적인 인프라를 조금이라도 위협한다고 스스로 판단되는 모든 사람과 사물을 향한 무시무시하고도 의로운 분노의 불꽃을 한가득 담고 있습니다. 급진적인 친노예제 선동가 세력인 '파이어 이터'가 $PROVINCENAME$에 전격 등장했습니다.
EVTOPTA16070;모든 인간은 처음부터 평등하게 창조되었다...
EVTOPTB16070;이보다 더 진실된 명언은 없을 것이다!
PROVINCEVIEW_SUPPLY_LIMIT;보급 한계:
PRODUCTION_COST_REOPEN;재가동 비용: §Y$VAL$§W
EVTNAME11102;$CULTURE_GROUP_UNION$ 만세 삼창!
EVTDESC11102;$COUNTRY$ 전역에서, 자랑스러운 $CULTURE_GROUP_UNION$의 깃발을 힘차게 흔드는 환희에 찬 군중들이 모두 거리로 몰려나와 다 함께 승리를 축하하고 있습니다. $CAPITAL$의 정부가 $COUNTRY_ADJ$ 깃발 아래 모든 $CULTURE_GROUP_UNION$의 완전한 통일을 만부에 선언했기 때문입니다.\n\n'너무도 오랜 인고의 시간 동안, 우리는 외세의 더러운 음모와 간악한 계략이 우리 국가가 나아갈 굳건한 삶의 방향을 멋대로 결정하게끔 수수방관해 왔습니다. 하지만 오늘, 그리고 앞으로 영원무궁토록 이곳 우리의 오래된 조국에서 우리는 더 완벽무결한 통합을 위한 결속의 맹세를 다질 것입니다. 자랑스러운 조국, $CULTURE_GROUP_UNION$ 만세 삼창!'\n\n
EVTOPTA11102;영원하리라!
NAVALATTACKTHEM_HEADER;해군참모총장의 보고명령서
NAVALATTACKUS_HEADER;해군참모총장의 긴급 보고
SIEGEUS_SETUP;적이 우리 국경의 단 한 치라도 점령하기 시작할 때
SIEGEUS_HEADER;$MESSENGER$
SIEGEUS_1;기어코 우리 영토의 한구석이 점령당하기 시작했습니다.
SIEGEUS_2;존경하는 $MONARCHTITLE$이시여,
SIEGEUS_3;$PROV$(이)가
SIEGEUS_4;일부 점령당하기 시작했다는 보고가 들어왔습니다. 그러나 절대 두려워하지 마십시오!
SIEGEUS_5;$ATTACKER$의 쓰레기 같은 군대는
SIEGEUS_6;우리 위풍당당한 군대의 절대적인 무력 앞에 머지않아 쫓겨나고야 말 테니까요.
SIEGEUS_LOG;$PROV$(이)가 점령당하기 시작했습니다.
SIEGEUS_BTN1;알겠습니다
SIEGEUS_BTN2;알겠습니다
SIEGEUS_BTN3;이동
SIEGEUS_MAP;*
SIEGETHEM_SETUP;우리가 적의 불경한 영토를 점령하기 시작할 때
SIEGETHEM_HEADER;$MESSENGER$
SIEGETHEM_1;드디어 적의 영토를 조금씩 점령하기 시작했다는 보고입니다!
SIEGETHEM_2;자비로우신 $MONARCHTITLE$이시여, 우리가
SIEGETHEM_3;$PROV$(을)를 점령하기 시작했습니다.
SIEGETHEM_4;우리 훌륭한 군대가 적국이 뻗치는 악의 축으로부터 이 영토를 구출해 내는 데에는 그리 오래 걸리지 않을 것입니다!
SIEGETHEM_5;$DEFENDER$
SIEGETHEM_6;놈들은 우리의 이 위대하고도 계몽적인 통치를 학수고대하게 될 것입니다.
SIEGETHEM_LOG;우리가 $PROV$(을)를 성공적으로 점령하기 시작했습니다.
SIEGETHEM_BTN1;확인
SIEGETHEM_BTN2;확인
SIEGETHEM_BTN3;이동
SIEGETHEM_MAP;*
chief_of_army;육군참모총장
chief_of_navy;해군참모총장
chief_of_staff;참모총장
SPHERE_LEADER;세력권 종주국
CONFIRM_INTERVENTION;개입!
CONFIRM_INTERVENTION_DESC;$WAR$에 정말로 개입하시겠습니까?
CHAT_NONE_TIP;채팅 필터 초기화
CHAT_ALLIES_TIP;동맹국과만 채팅
CHAT_ENEMIES_TIP;적국과만 채팅
CHAT_ALL_TIP;모든 사람과 한 번에 채팅
CHAT_FILTER;사용자가 메시지를 수신할지 여부를 마음대로 변경하려면 클릭하십시오
UV_NO_MORALE;조직력이 턱없이 낮아 당장 부대를 이동할 수 없습니다. 필요한 조직력은 무려 §Y$NEED$§W이며 현재 남아 있는 조직력은 고작 §Y$ORG$§W입니다.
UV_NO_STRENGHT;전투 병력이 부족하여 지금은 부대를 이동할 수 없습니다. 온전한 상태에 필요한 병력은 §Y$NEED$§W이며 현재 편제된 병력은 §Y$STR$§W에 불과합니다.
tut_7a_6b;하단에 자리 잡은 자동화라는 체크 박스가 있습니다.\n자동화 기능은 군대에서 소비하기 위해 필요한 물품들을 적절히 구입하도록 무역 명령을 시스템이 자동으로 설정합니다.
tut_1a_4;더럽고 추악한 네덜란드군이 우리 국경에 대거 집결하고 있으므로, 우리는 이들을 반드시 완벽하게 격퇴해야 합니다. 이 어려운 임무를 제일 먼저 수행하기 위해 우리가 내려야 할 행동은 당연히 군대를 하나 선택하는 것입니다. \n 그 일을 해낼 참된 군대를 고르려면, 브뤼셀에 있는 부대 아이콘을 정확히 클릭하십시오.
CONT_AI;AI로 대체
CONT_CONTINUE;계속 (AI 없음)
ASKMILITARYACCESS_THEY_ACCEPT_6;이 은혜로운 조약이 온전히 유효한 기간 동안에는, 우리 장병들이 그들 국가의 고귀한 영토를 가로지르며 자유롭게 마음껏 이동할 수 있게 됩니다.
ASKMILITARYACCESS_THEY_DECLINE_6;무려 우리와 같은 훌륭한 군대가 그들 초라한 국가의 수도 거리에 당당히 주둔할 때 얻을 수 있는 크나큰 위대한 이점을, 어째서 제대로 깨닫지 못하는 건지 실로 삶의 자그마한 미스터리 중 하나가 아닐 수 없습니다.
DISBAND_UNIT_DRO;멀쩡한 하나의 여단 부대를 임의로 해산하게 되면 그 부대가 게임 내에서 완전히 제거되며, 그 결과 우리 국가가 평시 유지비로 지출하고 소비해야 하는 필수 보급품의 양이 조금이나마 줄어들게 될 것입니다.
residency_desc;국가의 주 문화에 명확히 속하는 사람들에게만 참정권과 선거권이 독점적으로 허용됩니다.
limited_citizenship_desc;국가의 주 문화와 수용 문화에 동시에 속하는 사람들에게만 제한적인 선거권이 허용됩니다.
small_arms_production_desc;획기적인 후장식 뇌관 소총, 기계식 소총 훈련, 반자동 화기 및 무기 설계 분야에 관한 기타 여러 압도적인 기술 개선 등의 놀라운 발명이 거듭됨에 따라, 19세기에 전반적으로 소화기의 산업용 생산량은 어마어마한 수준으로 급격하게 증가했습니다.
ammunition_production_desc;당연한 수순으로, 기본적인 탄약의 설계와 생산은 19세기라는 긴 세월을 통틀어 많은 비약적인 발전을 이루었습니다. 전장식에서 후장식으로, 그리고 고화력 반자동과 기관총으로 쉼 없이 이어지는 무기 설계의 진보에 따라, 탄약의 정밀하고 규격화된 설계와 대량 생산 또한 필연적으로 그에 걸맞은 흐름을 발맞추어 차근차근 따라가야만 했습니다.
explosives_production_desc;빅토리아 시대에는 무언가를 파괴하고 폭파하는 인류의 능력이 이전에 비할 데 없이 엄청나게 괄목할 만한 발전을 이루어 내는 쾌거를 목격했습니다. 이 시대가 막을 올리기 시작할 무렵만 해도 기껏해야 고작 단순한 흑색 화약 등에 머물러 있었지만, 대단원이 막을 내릴 때쯤 되면 놀라운 인류는 플라스틱형 복합 폭약과 함께 새로운 니트로글리세린의 눈부신 등장을 당당하게 증명해 낼 것입니다.
artillery_production_desc;장대했던 19세기의 산업 혁명은 인간의 노력이 닿는 거의 모든 전 분야에 전방위적으로 지대한 영향을 미쳤으며, 전장의 수호신이라고 칭송받는 포병과 모든 대포의 생산 역시 예외는 아니었습니다. 과거에는 청동 대포 하나를 겨우 주조하는 것에만 길고 지루한 오랜 과정이 필요로 했었지만, 저명한 알프리트 크루프나 혁신자 하이럼 맥심과 같은 찬란한 산업계 거장들의 능숙하고 예리한 손을 거치면서 이런 제조 과정들은 전례 없이 빠르고 체계적으로 산업화되었고 이내 놀랄 만큼 정밀한 첨단 과학으로 거듭나고야 말았습니다.
PO_PD_70;당신은 압도적이고 눈부신 대승을 온전히 거두었으며, 다가올 평화 협정 테이블에서 수많은 여러 전쟁 목표에 대한 구체적인 이행을 그들에게 마땅히 요구하고 기대해 볼 수 있을 것입니다.
PO_PD_40;당신은 놀라울 만큼 완벽한 승리를 굳건하고 깔끔하게 쟁취해 냈으며, 적에게 최소 하나의 주요 전쟁 목표라도 평화 협정의 내용으로 완전히 이행할 것을 강력히 주장해야 할 것입니다.
PO_PD_10;당신은 이번 전쟁에서 평범하게 무난한 승리를 조금 거두었습니다. 이대로라면 적은 아무런 조건 없는 평화 협정이나, 그게 꼭 아니라 하더라도 기껏해 봐야 겨우 제한적인 일부 전쟁 목표 정도라면 순순히 수용하겠다는 다소 긍정적인 의향만을 조심스레 밝히며 협상 테이블에 나올 것입니다.
PO_PD_NEG_25;심히 통탄스럽게도 적이 이번 싸움에서 안타깝게 승리하고야 말았으므로, 우리 입장에서는 평화를 갈구하는 작금의 대가로 그들의 골수 깊은 요구 사항들 중에서 그나마 현실적인 범주의 제한적인 전쟁 목표라도 어떻게든 감수하고 필사적으로 이행해 주겠다고 제안하는 쪽을 진지하게 깊이 고려해 봐야만 할 때가 도래했습니다.
PO_PD_NEG_60;아아, 실로 끔찍하게도 적이 그만 아주 완벽한 대승을 말끔하게 거두고야 말았으므로, 우리는 차라리 하루빨리 항복 선언을 하고 그들이 요구하던 수많은 주요 전쟁 목표들 중 안타깝지만 어쩔 수 없이 최소 하나라도 고스란히 이행할 용의가 있음을 겸허하게 제안해 보는 것을 서둘러 고려해야만 합니다.
PO_PD_NEG_99;적군이 한편의 전설에 길이 남을 법한 굴욕적일 정도로 압도적인 대승을 완전히 쟁취해 버린 나머지 몹시 절망적이게도, 다가올 평화 협상 자리의 벼랑 끝에 몰려 고압적인 분위기에 둘러싸인 우리는 그들이 이 기회를 놓치지 않고 수없이 많고 다양한 그들의 악랄한 전쟁 목표들을 무조건적으로 신속하게 이행하라고 피도 눈물도 없이 강요하며 몹하게 굴 것이라 섣불리 예상해 볼 수 있습니다.
TOPBAR_AT_WAR_WITH;현재 §Y$COUNTRY$§W(와)과 전쟁 중
tut_7a_8a;그 아이콘 바로 아래에 정확히 구매(BUY)라는 텍스트가 쓰여 있는 부분을 잘 확인하고, 바로 그 옆에 놓여 있는 슬라이더의 위치에도 주목해 주십시오. 슬라이더를 쭉 당겨 만약 특정 비축량의 값을 임의로 설정하게 된다면, 그렇게 설정해 둔 그 특정 값의 목표 보유량에 전부 도달할 수 있을 때까지 게임 내에서 해당 상품을 자동으로 빠르게 연속 구매하려고 무던히 애쓰게 된다는 것을 의미합니다.
EVTOPTA17000;이러한 정국 상황에서 온전한 참정권 따위는 존재하지 않을 것입니다
EVTOPTB17000;이 놀라운 생각에 그저 전사회적인 차원의 범대중적 지지만이라도 최소한 존재했었다면...
